hours,placement,fc,measurement_day,measurement_location
9,livingrsill_wed,NA,wed,livingrsill
10,livingrsill_wed,157,wed,livingrsill
11,livingrsill_wed,83,wed,livingrsill
12,livingrsill_wed,300,wed,livingrsill
13,livingrsill_wed,360,wed,livingrsill
14,livingrsill_wed,306,wed,livingrsill
15,livingrsill_wed,560,wed,livingrsill
16,livingrsill_wed,580,wed,livingrsill
17,livingrsill_wed,402,wed,livingrsill
18,livingrsill_wed,77,wed,livingrsill
19,livingrsill_wed,571,wed,livingrsill
9,livingrsill_thu,NA,thu,livingrsill
10,livingrsill_thu,142,thu,livingrsill
11,livingrsill_thu,NA,thu,livingrsill
12,livingrsill_thu,338,thu,livingrsill
13,livingrsill_thu,432,thu,livingrsill
14,livingrsill_thu,NA,thu,livingrsill
15,livingrsill_thu,NA,thu,livingrsill
16,livingrsill_thu,602,thu,livingrsill
17,livingrsill_thu,514,thu,livingrsill
18,livingrsill_thu,398,thu,livingrsill
19,livingrsill_thu,590,thu,livingrsill
9,pilea_wed,NA,wed,pilea
10,pilea_wed,22,wed,pilea
11,pilea_wed,67,wed,pilea
12,pilea_wed,157,wed,pilea
13,pilea_wed,197,wed,pilea
14,pilea_wed,158,wed,pilea
15,pilea_wed,260,wed,pilea
16,pilea_wed,252,wed,pilea
17,pilea_wed,230,wed,pilea
18,pilea_wed,40,wed,pilea
19,pilea_wed,184,wed,pilea
9,pilea_thu,NA,thu,pilea
10,pilea_thu,67,thu,pilea
11,pilea_thu,NA,thu,pilea
12,pilea_thu,149,thu,pilea
13,pilea_thu,181,thu,pilea
14,pilea_thu,NA,thu,pilea
15,pilea_thu,NA,thu,pilea
16,pilea_thu,261,thu,pilea
17,pilea_thu,201,thu,pilea
18,pilea_thu,196,thu,pilea
19,pilea_thu,170,thu,pilea
9,officewindow_measurements_wed,NA,wed,officewindow
10,officewindow_measurements_wed,116,wed,officewindow
11,officewindow_measurements_wed,191,wed,officewindow
12,officewindow_measurements_wed,230,wed,officewindow
13,officewindow_measurements_wed,185,wed,officewindow
14,officewindow_measurements_wed,158,wed,officewindow
15,officewindow_measurements_wed,277,wed,officewindow
16,officewindow_measurements_wed,137,wed,officewindow
17,officewindow_measurements_wed,170,wed,officewindow
18,officewindow_measurements_wed,56,wed,officewindow
19,officewindow_measurements_wed,125,wed,officewindow
9,officewindow_measurements_thu,NA,thu,officewindow
10,officewindow_measurements_thu,235,thu,officewindow
11,officewindow_measurements_thu,NA,thu,officewindow
12,officewindow_measurements_thu,101,thu,officewindow
13,officewindow_measurements_thu,102,thu,officewindow
14,officewindow_measurements_thu,NA,thu,officewindow
15,officewindow_measurements_thu,100,thu,officewindow
16,officewindow_measurements_thu,NA,thu,officewindow
17,officewindow_measurements_thu,96,thu,officewindow
18,officewindow_measurements_thu,102,thu,officewindow
19,officewindow_measurements_thu,84,thu,officewindow
9,officemonitor_wed,NA,wed,officemonitor
10,officemonitor_wed,40,wed,officemonitor
11,officemonitor_wed,35,wed,officemonitor
12,officemonitor_wed,64,wed,officemonitor
13,officemonitor_wed,52,wed,officemonitor
14,officemonitor_wed,38,wed,officemonitor
15,officemonitor_wed,56,wed,officemonitor
16,officemonitor_wed,38,wed,officemonitor
17,officemonitor_wed,48,wed,officemonitor
18,officemonitor_wed,12,wed,officemonitor
19,officemonitor_wed,39,wed,officemonitor
9,officemonitor_thus,NA,hus,officemonitor
10,officemonitor_thus,50,hus,officemonitor
11,officemonitor_thus,NA,hus,officemonitor
12,officemonitor_thus,28,hus,officemonitor
13,officemonitor_thus,27,hus,officemonitor
14,officemonitor_thus,NA,hus,officemonitor
15,officemonitor_thus,NA,hus,officemonitor
16,officemonitor_thus,32,hus,officemonitor
17,officemonitor_thus,37,hus,officemonitor
18,officemonitor_thus,37,hus,officemonitor
19,officemonitor_thus,32,hus,officemonitor
9,kitchenfern_wed,NA,wed,kitchenfern
10,kitchenfern_wed,7,wed,kitchenfern
11,kitchenfern_wed,12,wed,kitchenfern
12,kitchenfern_wed,10,wed,kitchenfern
13,kitchenfern_wed,32,wed,kitchenfern
14,kitchenfern_wed,23,wed,kitchenfern
15,kitchenfern_wed,46,wed,kitchenfern
16,kitchenfern_wed,72,wed,kitchenfern
17,kitchenfern_wed,65,wed,kitchenfern
18,kitchenfern_wed,8,wed,kitchenfern
19,kitchenfern_wed,33,wed,kitchenfern
9,kitchenfern_thu,NA,thu,kitchenfern
10,kitchenfern_thu,14,thu,kitchenfern
11,kitchenfern_thu,NA,thu,kitchenfern
12,kitchenfern_thu,37,thu,kitchenfern
13,kitchenfern_thu,50,thu,kitchenfern
14,kitchenfern_thu,NA,thu,kitchenfern
15,kitchenfern_thu,NA,thu,kitchenfern
16,kitchenfern_thu,75,thu,kitchenfern
17,kitchenfern_thu,71,thu,kitchenfern
18,kitchenfern_thu,63,thu,kitchenfern
19,kitchenfern_thu,41,thu,kitchenfern
9,kitchennewtable_wed,NA,wed,kitchennewtable
10,kitchennewtable_wed,16,wed,kitchennewtable
11,kitchennewtable_wed,27,wed,kitchennewtable
12,kitchennewtable_wed,53,wed,kitchennewtable
13,kitchennewtable_wed,47,wed,kitchennewtable
14,kitchennewtable_wed,55,wed,kitchennewtable
15,kitchennewtable_wed,125,wed,kitchennewtable
16,kitchennewtable_wed,124,wed,kitchennewtable
17,kitchennewtable_wed,77,wed,kitchennewtable
18,kitchennewtable_wed,19,wed,kitchennewtable
19,kitchennewtable_wed,29,wed,kitchennewtable
9,kitchennewtable_thu,NA,thu,kitchennewtable
10,kitchennewtable_thu,28,thu,kitchennewtable
11,kitchennewtable_thu,NA,thu,kitchennewtable
12,kitchennewtable_thu,72,thu,kitchennewtable
13,kitchennewtable_thu,92,thu,kitchennewtable
14,kitchennewtable_thu,NA,thu,kitchennewtable
15,kitchennewtable_thu,NA,thu,kitchennewtable
16,kitchennewtable_thu,113,thu,kitchennewtable
17,kitchennewtable_thu,110,thu,kitchennewtable
18,kitchennewtable_thu,82,thu,kitchennewtable
19,kitchennewtable_thu,61,thu,kitchennewtable
